id,title,author,category,isbn,publisher_id,total_copies,available_copies
93,Advanced Human Resources: Theory and Practice,Prof. Ramesh Gupta,Human Resources,978-7-272-821-7,8,7,1
94,Advanced Mobile Development: Theory and Practice,Dr. Rajesh Babu,Mobile Development,979-1-962-837-7,4,13,5
95,Machine Design: Principles and Applications,Dr. Ashok Kumar,Mechanical Engineering,979-1-528-957-7,6,15,14
96,Advanced Power Systems: Theory and Practice,Prof. Anita Desai,Power Systems,978-6-877-793-1,2,5,1
97,Advanced Sociology: Theory and Practice,Dr. Priya Sharma,Sociology,978-5-686-112-5,3,8,0
98,Advanced Biology: Theory and Practice,Dr. Henry Davis,Biology,979-8-250-823-1,9,3,3
99,Advanced Biotechnology: Theory and Practice,Dr. Ashok Kumar,Biotechnology,978-2-412-954-9,9,13,8
100,Advanced Cloud Computing: Theory and Practice,Prof. Lakshmi Devi,Cloud Computing,978-2-975-942-2,5,13,1
101,Advanced History: Theory and Practice,Prof. Sarala,History,978-0-314-580-1,6,5,3
102,Statistical Physics: Principles and Applications,Prof. Frank Lee,Physics,978-5-785-265-9,9,5,2
103,Advanced Structural Analysis: Theory and Practice,Prof. Anita Desai,Structural Analysis,979-9-306-470-5,1,14,13
104,Advanced Construction Management: Theory and Practice,Prof. Frank Lee,Construction Management,979-5-658-784-2,2,11,3
105,Advanced Control Systems: Theory and Practice,Dr. Venkat Reddy,Control Systems,978-8-589-410-9,5,13,5
106,Natural Language Processing: Principles and Applications,Prof. Meera Nair,Artificial Intelligence,979-3-252-402-1,3,6,6
107,Advanced Control Systems: Theory and Practice,Prof. Sunita Rao,Control Systems,979-6-477-592-4,3,11,1
108,Advanced Sociology: Theory and Practice,Dr. Ramesh Kumar,Sociology,979-3-253-196-6,6,13,9
109,Computer Networks: Principles and Applications,Dr. Venkat Reddy,Computer Science,979-0-571-634-8,8,14,11
110,Quantum Physics: Principles and Applications,Prof. Meera Nair,Physics,979-1-451-932-3,10,4,4
111,Pattern Recognition: Principles and Applications,Dr. Priya Sharma,Machine Learning,978-7-560-742-5,1,3,0
112,VLSI Design: Principles and Applications,Dr. Rajesh Babu,Electronics Engineering,979-4-270-795-4,3,5,1
113,Advanced Fluid Mechanics: Theory and Practice,Dr. Venkat Reddy,Fluid Mechanics,979-0-332-742-3,3,7,4
114,Advanced Economics: Theory and Practice,Prof. Sarala,Economics,979-4-998-274-2,3,13,13
115,Advanced Control Systems: Theory and Practice,Dr. Henry Davis,Control Systems,979-9-876-745-4,9,12,8
116,Advanced Biology: Theory and Practice,Dr. Kiran Patel,Biology,979-1-110-695-4,3,3,0
117,Operating Systems: Principles and Applications,Prof. Anita Desai,Computer Science,979-4-387-238-9,7,14,3
118,Advanced Electrical Engineering: Theory and Practice,Prof. Frank Lee,Electrical Engineering,979-5-883-984-3,6,12,3
119,Advanced Literature: Theory and Practice,Dr. Venkat Reddy,Literature,978-8-105-241-8,2,13,9
120,Advanced Marketing: Theory and Practice,Prof. Lakshmi Devi,Marketing,979-5-670-601-8,9,4,2
121,Advanced Digital Signal Processing: Theory and Practice,Dr. Priya Sharma,Digital Signal Processing,979-5-776-431-1,8,14,14
122,Financial Management: Principles and Applications,Prof. Ramesh Gupta,Business Management,978-9-273-381-6,3,10,0
123,Advanced Digital Signal Processing: Theory and Practice,Prof. Lakshmi Devi,Digital Signal Processing,979-3-872-225-2,4,9,9
124,Advanced Psychology: Theory and Practice,Prof. Sarala,Psychology,978-6-298-225-4,1,7,3
125,Data Structures: Principles and Applications,Dr. Ashok Kumar,Computer Science,979-4-910-781-2,5,11,0
126,Pattern Recognition: Principles and Applications,Dr. Venkat Reddy,Machine Learning,979-8-760-881-6,4,9,6
127,Numerical Methods: Principles and Applications,Prof. Grace Kim,Mathematics,979-4-577-326-6,9,14,10
128,Advanced Structural Analysis: Theory and Practice,Dr. Venkat Reddy,Structural Analysis,978-8-619-318-5,2,10,5
129,Digital Forensics: Principles and Applications,Dr. Rajesh Babu,Cybersecurity,979-6-871-372-8,6,8,6
130,Advanced Sociology: Theory and Practice,Dr. Ramesh Kumar,Sociology,978-1-512-234-3,7,5,3
131,Cryptography: Principles and Applications,Dr. Rajesh Babu,Cybersecurity,978-0-397-645-8,5,4,2
132,Advanced Thermodynamics: Theory and Practice,Dr. Ramesh Kumar,Thermodynamics,978-4-259-959-5,10,10,10
133,Aerospace Engineering: Principles and Applications,Dr. Henry Davis,Mechanical Engineering,978-5-692-951-7,4,6,4
134,Aerospace Engineering: Principles and Applications,Prof. Lakshmi Devi,Mechanical Engineering,978-5-827-568-5,8,15,4
135,Advanced Literature: Theory and Practice,Dr. Kiran Patel,Literature,978-8-633-648-6,3,15,15
136,Advanced Marketing: Theory and Practice,Dr. Ramesh Kumar,Marketing,979-4-425-732-5,7,8,3
137,Advanced Robotics: Theory and Practice,Dr. Rajesh Babu,Robotics,979-4-729-557-8,9,4,3
138,Advanced Robotics: Theory and Practice,Dr. Priya Sharma,Robotics,979-7-439-737-4,10,9,8
139,Advanced Electrical Engineering: Theory and Practice,Dr. Prakash,Electrical Engineering,979-9-820-238-9,8,9,9
140,Advanced History: Theory and Practice,Prof. Meera Nair,History,978-4-391-226-3,6,12,6
141,Advanced History: Theory and Practice,Prof. Frank Lee,History,978-6-913-220-5,8,12,3
142,Unsupervised Learning: Principles and Applications,Dr. Venkat Reddy,Machine Learning,978-3-183-174-4,7,12,4
143,Microprocessors: Principles and Applications,Prof. Frank Lee,Electronics Engineering,978-8-190-663-9,9,13,12
144,Advanced Sociology: Theory and Practice,Dr. Venkat Reddy,Sociology,978-5-560-495-9,8,5,2
145,Advanced Psychology: Theory and Practice,Dr. Rajesh Babu,Psychology,978-1-255-858-3,10,3,3
146,Advanced Human Resources: Theory and Practice,Prof. Lakshmi Devi,Human Resources,978-2-869-910-6,10,15,10
147,Advanced Structural Analysis: Theory and Practice,Dr. Kiran Patel,Structural Analysis,978-6-362-325-5,2,7,1
148,Advanced Renewable Energy: Theory and Practice,Prof. Lakshmi Devi,Renewable Energy,979-2-795-948-2,9,13,6
149,Advanced Philosophy: Theory and Practice,Prof. Anita Desai,Philosophy,979-6-445-750-1,5,9,7
150,Advanced Renewable Energy: Theory and Practice,Prof. Frank Lee,Renewable Energy,979-4-676-402-1,9,3,3
151,Hydraulic Engineering: Principles and Applications,Dr. Prakash,Civil Engineering,979-7-709-288-3,8,9,0
152,Advanced Web Development: Theory and Practice,Prof. Anita Desai,Web Development,979-9-686-656-8,5,4,2
153,Advanced Control Systems: Theory and Practice,Dr. Priya Sharma,Control Systems,978-2-104-834-4,1,10,5
154,Advanced Thermodynamics: Theory and Practice,Prof. Sunita Rao,Thermodynamics,978-0-357-729-5,4,13,10
155,Advanced Philosophy: Theory and Practice,Prof. Frank Lee,Philosophy,978-5-944-399-4,6,15,10
156,Advanced Renewable Energy: Theory and Practice,Prof. Ramesh Gupta,Renewable Energy,978-7-819-640-6,4,8,6
157,Advanced Web Development: Theory and Practice,Prof. Sarala,Web Development,978-8-522-143-5,6,6,3
158,Statistical Physics: Principles and Applications,Prof. Meera Nair,Physics,978-0-736-395-7,1,10,1
159,Advanced Philosophy: Theory and Practice,Dr. Priya Sharma,Philosophy,979-9-755-862-5,6,7,4
160,Advanced Construction Management: Theory and Practice,Prof. Ramesh Gupta,Construction Management,979-1-645-438-9,7,10,7
161,Advanced Robotics: Theory and Practice,Dr. Venkat Reddy,Robotics,978-3-424-580-8,2,11,2
162,Advanced Chemistry: Theory and Practice,Dr. Priya Sharma,Chemistry,979-4-895-134-9,8,15,7
163,Advanced Chemistry: Theory and Practice,Dr. Priya Sharma,Chemistry,979-2-774-837-3,1,14,0
164,Advanced Robotics: Theory and Practice,Dr. Prakash,Robotics,978-8-367-307-9,6,12,2
165,Advanced Biology: Theory and Practice,Prof. Meera Nair,Biology,978-8-374-394-5,2,14,9
166,Advanced Literature: Theory and Practice,Dr. Priya Sharma,Literature,978-5-306-346-3,2,14,5
167,Advanced Sociology: Theory and Practice,Dr. Prakash,Sociology,978-5-347-617-1,3,11,3
168,Advanced Human Resources: Theory and Practice,Dr. Prakash,Human Resources,979-9-779-606-5,6,15,15
169,Advanced Web Development: Theory and Practice,Dr. Ashok Kumar,Web Development,979-9-550-399-9,4,12,9
170,Advanced Sociology: Theory and Practice,Dr. Ashok Kumar,Sociology,978-4-724-814-9,5,5,3
171,Advanced Robotics: Theory and Practice,Prof. Frank Lee,Robotics,978-7-581-502-4,9,10,0
172,Marketing Management: Principles and Applications,Prof. Frank Lee,Business Management,978-9-359-827-9,2,11,9
173,Advanced Renewable Energy: Theory and Practice,Prof. Lakshmi Devi,Renewable Energy,979-4-354-200-6,6,12,5
174,Human Resource Management: Principles and Applications,Prof. Sarala,Business Management,979-0-669-250-2,6,11,4
175,Cryptography: Principles and Applications,Dr. Rajesh Babu,Cybersecurity,978-9-506-100-3,10,8,8
176,Analog Circuits: Principles and Applications,Prof. Lakshmi Devi,Electronics Engineering,979-8-114-481-2,1,4,4
177,Advanced Biology: Theory and Practice,Prof. Sunita Rao,Biology,978-5-391-431-1,7,8,4
178,Advanced Structural Analysis: Theory and Practice,Dr. Venkat Reddy,Structural Analysis,979-2-824-726-8,1,8,4
179,Manufacturing Processes: Principles and Applications,Dr. Rajesh Babu,Mechanical Engineering,978-0-552-521-6,10,6,4
180,Computer Networks: Principles and Applications,Dr. Prakash,Computer Science,978-9-218-595-5,2,15,4
181,Advanced Thermodynamics: Theory and Practice,Dr. Henry Davis,Thermodynamics,979-2-403-144-9,9,5,1
182,Linear Algebra: Principles and Applications,Prof. Grace Kim,Mathematics,979-0-397-456-6,5,5,4
183,Advanced Web Development: Theory and Practice,Dr. Priya Sharma,Web Development,978-5-867-834-8,7,8,5
184,Advanced Construction Management: Theory and Practice,Dr. Rajesh Babu,Construction Management,978-9-331-140-4,7,14,11
185,Cryptography: Principles and Applications,Prof. Anita Desai,Cybersecurity,978-3-841-378-7,6,10,3
186,Advanced Chemistry: Theory and Practice,Prof. Ramesh Gupta,Chemistry,978-0-654-551-4,3,14,4
187,Advanced Human Resources: Theory and Practice,Dr. Priya Sharma,Human Resources,979-6-818-933-1,7,10,10
188,Advanced Power Systems: Theory and Practice,Prof. Anita Desai,Power Systems,978-6-610-748-8,10,13,1
189,Advanced Thermodynamics: Theory and Practice,Prof. Sarala,Thermodynamics,979-2-445-489-4,1,14,2
190,Advanced Digital Signal Processing: Theory and Practice,Dr. Kiran Patel,Digital Signal Processing,979-4-959-605-8,5,10,6
191,Advanced Philosophy: Theory and Practice,Prof. Sarala,Philosophy,978-8-511-625-2,6,13,10
192,Strategic Management: Principles and Applications,Dr. Ashok Kumar,Business Management,979-2-959-107-1,8,3,0
193,Advanced Digital Signal Processing: Theory and Practice,Prof. Lakshmi Devi,Digital Signal Processing,978-3-911-214-8,6,7,0
194,Advanced Construction Management: Theory and Practice,Prof. Sarala,Construction Management,979-3-142-286-5,3,3,3
195,Advanced Construction Management: Theory and Practice,Prof. Sunita Rao,Construction Management,979-0-411-715-4,7,3,3
196,Advanced Finance: Theory and Practice,Prof. Sarala,Finance,978-0-202-116-3,6,6,6
197,Advanced Philosophy: Theory and Practice,Prof. Sunita Rao,Philosophy,979-5-745-892-3,5,15,3
198,Digital Forensics: Principles and Applications,Prof. Lakshmi Devi,Cybersecurity,978-0-616-304-5,3,15,2
199,Advanced Structural Analysis: Theory and Practice,Prof. Ramesh Gupta,Structural Analysis,979-2-908-467-1,10,14,4
200,Advanced Renewable Energy: Theory and Practice,Prof. Ramesh Gupta,Renewable Energy,979-5-221-834-8,1,6,4
201,Linear Algebra: Principles and Applications,Prof. Frank Lee,Mathematics,978-1-676-793-6,2,13,2
202,Advanced Renewable Energy: Theory and Practice,Dr. Prakash,Renewable Energy,979-0-461-509-1,10,7,1
203,Advanced Web Development: Theory and Practice,Dr. Kiran Patel,Web Development,978-8-761-582-8,10,10,3
204,Advanced Renewable Energy: Theory and Practice,Dr. Rajesh Babu,Renewable Energy,978-7-749-481-8,4,10,8
205,Advanced Power Systems: Theory and Practice,Prof. Anita Desai,Power Systems,979-0-695-215-9,5,3,0
206,Advanced Digital Signal Processing: Theory and Practice,Dr. Venkat Reddy,Digital Signal Processing,978-7-680-105-7,6,15,9
207,Advanced Control Systems: Theory and Practice,Prof. Grace Kim,Control Systems,979-3-903-621-4,10,4,0
208,Advanced Marketing: Theory and Practice,Prof. Sunita Rao,Marketing,978-4-309-193-5,7,6,4
209,Expert Systems: Principles and Applications,Dr. Ramesh Kumar,Artificial Intelligence,979-6-578-930-3,7,9,6
210,Microprocessors: Principles and Applications,Dr. Ramesh Kumar,Electronics Engineering,978-6-794-747-8,1,12,0
211,Advanced Marketing: Theory and Practice,Dr. Prakash,Marketing,979-1-221-879-9,4,7,4
212,Advanced Biotechnology: Theory and Practice,Dr. Prakash,Biotechnology,979-0-676-133-2,2,10,3
213,Advanced Marketing: Theory and Practice,Prof. Sarala,Marketing,979-4-800-827-6,1,11,3
214,Advanced Communication Systems: Theory and Practice,Prof. Ramesh Gupta,Communication Systems,979-7-183-726-4,6,12,0
215,Advanced Control Systems: Theory and Practice,Dr. Prakash,Control Systems,979-9-584-274-6,3,6,2
216,Advanced Human Resources: Theory and Practice,Dr. Ramesh Kumar,Human Resources,978-0-317-864-2,10,3,0
217,Advanced Finance: Theory and Practice,Prof. Sunita Rao,Finance,978-2-898-831-8,9,12,6
218,Advanced Political Science: Theory and Practice,Dr. Priya Sharma,Political Science,978-5-473-901-8,6,9,0
219,Advanced Cloud Computing: Theory and Practice,Dr. Prakash,Cloud Computing,979-2-189-656-7,6,13,0
220,Advanced Web Development: Theory and Practice,Dr. Kiran Patel,Web Development,979-7-463-694-5,4,3,0
221,Advanced Mobile Development: Theory and Practice,Dr. Prakash,Mobile Development,979-1-836-953-7,6,12,10
222,Advanced Sociology: Theory and Practice,Prof. Sarala,Sociology,979-2-363-631-8,9,3,3
223,Advanced Mobile Development: Theory and Practice,Prof. Frank Lee,Mobile Development,979-9-921-453-5,6,6,6
224,Advanced Robotics: Theory and Practice,Dr. Prakash,Robotics,979-9-124-130-5,2,12,3
225,Operating Systems: Principles and Applications,Dr. Kiran Patel,Computer Science,978-0-700-217-6,9,5,5
226,Advanced Structural Analysis: Theory and Practice,Prof. Lakshmi Devi,Structural Analysis,978-6-788-791-6,10,9,5
227,Advanced Philosophy: Theory and Practice,Dr. Ashok Kumar,Philosophy,979-9-394-402-7,10,12,12
228,Advanced Biotechnology: Theory and Practice,Dr. Priya Sharma,Biotechnology,979-3-674-604-4,2,7,5
229,Manufacturing Processes: Principles and Applications,Dr. Ashok Kumar,Mechanical Engineering,979-6-203-979-9,1,5,3
230,Advanced Fluid Mechanics: Theory and Practice,Dr. Venkat Reddy,Fluid Mechanics,978-6-926-813-2,1,6,3
231,Engineering Mechanics: Principles and Applications,Prof. Frank Lee,Mechanical Engineering,979-8-565-849-1,1,5,5
232,Advanced Structural Analysis: Theory and Practice,Prof. Lakshmi Devi,Structural Analysis,979-5-630-798-3,2,5,5
233,Advanced Robotics: Theory and Practice,Dr. Venkat Reddy,Robotics,978-7-430-170-7,4,14,1
234,Classical Mechanics: Principles and Applications,Prof. Grace Kim,Physics,979-1-804-609-9,1,14,3
235,Advanced Robotics: Theory and Practice,Prof. Grace Kim,Robotics,979-6-143-143-9,3,14,1
236,Advanced Sociology: Theory and Practice,Prof. Sarala,Sociology,979-4-772-604-1,5,15,10
237,Advanced Fluid Mechanics: Theory and Practice,Dr. Priya Sharma,Fluid Mechanics,979-7-487-885-2,3,6,4
238,Advanced Biology: Theory and Practice,Prof. Grace Kim,Biology,979-6-925-282-5,7,14,4
239,Advanced Cloud Computing: Theory and Practice,Prof. Sunita Rao,Cloud Computing,979-3-232-706-9,7,13,4
240,Algorithms: Principles and Applications,Prof. Meera Nair,Computer Science,979-3-427-540-2,6,7,1
241,Advanced Cloud Computing: Theory and Practice,Dr. Venkat Reddy,Cloud Computing,979-5-502-298-1,6,7,2
242,Advanced Cloud Computing: Theory and Practice,Prof. Ramesh Gupta,Cloud Computing,978-8-923-329-7,2,11,5
243,Advanced Philosophy: Theory and Practice,Prof. Grace Kim,Philosophy,978-1-124-860-1,6,14,9
244,Advanced Finance: Theory and Practice,Dr. Rajesh Babu,Finance,978-5-273-533-3,10,14,12
245,Aerospace Engineering: Principles and Applications,Dr. Prakash,Mechanical Engineering,978-8-452-702-4,1,8,5
246,Advanced Marketing: Theory and Practice,Prof. Frank Lee,Marketing,979-1-475-239-2,8,7,2
247,Advanced Biology: Theory and Practice,Dr. Rajesh Babu,Biology,979-3-442-458-4,5,15,7
248,Pattern Recognition: Principles and Applications,Prof. Grace Kim,Machine Learning,978-4-125-988-5,2,11,2
249,Operations Management: Principles and Applications,Dr. Prakash,Business Management,979-0-542-408-9,5,5,4
250,Advanced Structural Analysis: Theory and Practice,Prof. Frank Lee,Structural Analysis,979-2-229-451-1,1,3,1
251,Advanced Philosophy: Theory and Practice,Prof. Meera Nair,Philosophy,979-5-896-878-6,1,10,2
252,Machine Design: Principles and Applications,Prof. Meera Nair,Mechanical Engineering,979-7-139-649-4,5,11,1
253,Advanced Economics: Theory and Practice,Dr. Kiran Patel,Economics,978-4-570-366-3,7,6,3
254,Transportation Engineering: Principles and Applications,Dr. Rajesh Babu,Civil Engineering,978-9-681-847-8,4,5,0
255,Advanced Biology: Theory and Practice,Prof. Anita Desai,Biology,979-8-702-620-4,10,6,6
256,Advanced Control Systems: Theory and Practice,Dr. Kiran Patel,Control Systems,978-8-137-692-5,3,11,10
257,Advanced Chemistry: Theory and Practice,Dr. Rajesh Babu,Chemistry,978-5-135-216-9,8,5,3
258,Advanced Mobile Development: Theory and Practice,Prof. Grace Kim,Mobile Development,979-5-609-293-5,10,7,5
